Export;EXP-2023-01 (20230711 00:15);;;StationsCode;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10248;NL10404;NL10418;NL10444;NL10449;NL10450;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
Periode;20230401 00:00 - 20230501 00:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Vredepeel-Vredeweg;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Breda-Tilburgseweg;Breda-Bastenakenstraat;Veldhoven-Europalaan;Nistelrode-Gagelstraat;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;De Zilk-Vogelaarsdreef;Vlaardingen-Riouwlaan;Den Haag-Neherkade;Wieringerwerf-Medemblikkerweg;Utrecht-Kardinaal de Jongweg;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Enschede-Winkelhorst.;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.54052,5.85307);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.593533,4.824944);(51.60308,4.781016);(51.407365,5.393328);(51.698187,5.54332);(52.077148,4.289185);(51.914233,4.479923);(52.296556,4.510817);(51.914883,4.32943);(52.062537,4.318551);(52.803657,5.050509);(52.105031,5.124464);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.234504,6.919494);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;stad;stad;regionaal;stad;stad;stad;regionaal;stad;stad;regionaal;stad;stad;regionaal;stad;regionaal;stad;regionaal;regionaal;stad;stad;stad;regionaal;stad;stad
;;;;StationsType;achtergrond;verkeer;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;verkeer;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA)
;;;;Meetopstelling;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020
;;;;Accreditatienummer;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10248;NL10404;NL10418;NL10444;NL10449;NL10450;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20230401 00:00;20230401 01:00;2.355;-1.7;;-3.44;0.356;0.586;3.063;3.967;4.993;2.051;2.406;1.488;4.237;3.034;5.113;3.936;;4.884;1.058;0.196;-0.954;;1.473;-0.468;1.044
PM2.5;uur;µg/m³;20230401 01:00;20230401 02:00;3.663;-2.497;;-4.167;2.374;-1.995;1.95;2.23;3.515;4.708;0.786;3.209;3.433;1.594;7.819;5.645;;8.71;2.432;-0.484;-3.266;;2.317;-3.804;1.171
PM2.5;uur;µg/m³;20230401 02:00;20230401 03:00;2.799;-1.283;;-2.951;1.976;-3.268;-0.672;5.945;0.795;;0.408;2.59;3.442;0.062;7.78;4.106;;4.386;1.634;3.188;-4.396;;1.087;-4.115;2.291
PM2.5;uur;µg/m³;20230401 03:00;20230401 04:00;2.141;-3.042;;0.463;-1.336;-1.96;0.916;4.522;0.488;;0.58;0.877;1.383;-1.196;8.31;0.764;;-2.23;2.573;1.883;-2.314;;2.723;-0.955;1.047
PM2.5;uur;µg/m³;20230401 04:00;20230401 05:00;3.219;-0.008;;-0.264;-2.483;-1.929;1.579;4.007;0.142;;2.08;0.212;-2;0.878;4.572;1.383;;0.651;1.906;;0.626;;2.182;0.714;2.254
PM2.5;uur;µg/m³;20230401 05:00;20230401 06:00;2.551;1.46;;-2.732;0.68;-0.28;0.241;1.126;3.02;;1.162;-0.888;-2.688;5.911;1.404;3.707;;5.168;1.217;;4.15;;1.557;0.463;5.812
PM2.5;uur;µg/m³;20230401 06:00;20230401 07:00;1.342;;;-1.389;3.587;1.672;-0.859;-0.781;2.105;;0.26;0.196;-2.105;2.832;6.079;4.146;;3.538;0.626;;4.016;;2.46;-1.085;6.626
PM2.5;uur;µg/m³;20230401 07:00;20230401 08:00;4.132;2.132;;-1.211;5.924;0.685;0.777;5.379;-1.276;;0.839;1.237;-1.532;1.975;6.522;;;4.07;-0.223;;5.595;;4.626;5.041;6.018
PM2.5;uur;µg/m³;20230401 08:00;20230401 09:00;3.022;3.669;;4.878;8.886;2.691;0.599;4.24;-1.134;;-0.442;-0.481;0.11;1.592;3.689;;;8.063;-0.932;;5.642;;6.222;3.067;7.133
PM2.5;uur;µg/m³;20230401 09:00;20230401 10:00;1.164;1.771;;4.59;7.141;3.497;5.312;15.96;1.775;;1.786;3.163;3.19;-1.263;3.852;;;6.357;0.632;;1.222;;3.121;-0.023;4.164
