Export;EXP-2023-002 (20231129 12:13);;;StationsCode;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10248;NL10404;NL10418;NL10444;NL10449;NL10450;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
Periode;20230701 00:00 - 20230801 00:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Vredepeel-Vredeweg;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Breda-Tilburgseweg;Breda-Bastenakenstraat;Veldhoven-Europalaan;Nistelrode-Gagelstraat;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;De Zilk-Vogelaarsdreef;Vlaardingen-Riouwlaan;Den Haag-Neherkade;Wieringerwerf-Medemblikkerweg;Utrecht-Kardinaal de Jongweg;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Enschede-Winkelhorst.;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.54052,5.85307);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.593533,4.824944);(51.60308,4.781016);(51.407365,5.393328);(51.698187,5.54332);(52.077148,4.289185);(51.914233,4.479923);(52.296556,4.510817);(51.914883,4.32943);(52.062537,4.318551);(52.803657,5.050509);(52.105031,5.124464);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.234504,6.919494);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;stad;stad;regionaal;stad;stad;stad;regionaal;stad;stad;regionaal;stad;stad;regionaal;stad;regionaal;stad;regionaal;regionaal;stad;stad;stad;regionaal;stad;stad
;;;;StationsType;achtergrond;verkeer;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;verkeer;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA)
;;;;Meetopstelling;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020
;;;;Accreditatienummer;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10248;NL10404;NL10418;NL10444;NL10449;NL10450;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20230701 00:00;20230701 01:00;5.021;3.051;;12.875;5.297;;9.729;7.966;;2.93;5.354;;;0.586;-2.154;6.799;3.523;11.748;4.499;5.95;2.692;4.521;;5.817;3.948
PM2.5;uur;µg/m³;20230701 01:00;20230701 02:00;4.711;1.668;;5.449;5.336;;7.726;8.317;;3.463;4.476;;;0.507;4.683;5.247;5.387;7.537;5.183;3.119;1.897;0.175;;3.878;-0.771
PM2.5;uur;µg/m³;20230701 02:00;20230701 03:00;5.949;1.502;;3.937;6.061;;6.259;8.009;;1.373;7.01;;;-1.351;5.104;4.273;8.949;15.227;6.324;2.819;5.146;1.933;;0.946;0.298
PM2.5;uur;µg/m³;20230701 03:00;20230701 04:00;6.877;2.651;;8.389;4.292;;4.85;7.537;;-0.085;4.091;;;-0.117;4.408;3.232;6.885;6.471;2.981;5.86;4.333;1.34;;0.915;1.738
PM2.5;uur;µg/m³;20230701 04:00;20230701 05:00;4.168;2.919;;3.978;2.177;;6.102;8.641;;2.495;0.776;;;-0.098;2.742;3.82;4.303;5.3;-0.177;2.058;2.094;2.103;;2.367;4.952
PM2.5;uur;µg/m³;20230701 05:00;20230701 06:00;1.424;1.469;;0.772;1.129;;7.105;7.85;;0.473;-0.597;;;-3.545;4.522;4.384;3.714;9.7;-0.772;1.318;1.161;3.057;;2.868;3.708
PM2.5;uur;µg/m³;20230701 06:00;20230701 07:00;-0.439;0.241;;1.67;-1.665;;3.656;2.766;;-0.929;-2.692;;;-2.673;4.118;3.235;2.477;5.247;-0.769;2.674;2.087;2.412;;3.25;2.299
PM2.5;uur;µg/m³;20230701 07:00;20230701 08:00;-0.614;-1.204;;0.424;1.704;;4.098;1.37;;0.589;-4.069;;;-2.793;2.91;2.335;1.493;1.381;-0.779;0.046;1.937;0.806;;3.453;0.291
PM2.5;uur;µg/m³;20230701 08:00;20230701 09:00;-2.748;-2.188;;-0.702;2.562;;3.284;1.62;;-0.229;-3.617;;;;3.322;2.945;2.1;5.916;-1.616;-2.113;1.179;-3.549;;2.905;-0.833
PM2.5;uur;µg/m³;20230701 09:00;20230701 10:00;;-2.735;;-0.668;1.523;;0.29;1.37;;-3.393;-2.332;;;-4.451;-0.216;3.649;-0.439;2.198;-1.822;-3.084;0.48;-4.581;;2.167;-1.174
PM2.5;uur;µg/m³;20230701 10:00;20230701 11:00;;-2.812;;1.821;1.091;;2.279;4.016;;-1.813;-0.323;;;-2.108;-1.664;3.061;-1.388;1.507;-1.027;-4.239;-0.304;-2.979;;0.676;-4.777
PM2.5;uur;µg/m³;20230701 11:00;20230701 12:00;;;;1.606;0.991;;1.006;4.464;;4.968;-0.514;;;-0.563;-1.905;3.448;-0.106;1.394;-0.272;;-0.83;-4.043;;-0.62;
