Export;EXP-2023-01 (20230711 22:33);;;StationsCode;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10248;NL10404;NL10418;NL10444;NL10449;NL10450;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
Periode;20230501 00:00 - 20230601 00:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Vredepeel-Vredeweg;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Breda-Tilburgseweg;Breda-Bastenakenstraat;Veldhoven-Europalaan;Nistelrode-Gagelstraat;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;De Zilk-Vogelaarsdreef;Vlaardingen-Riouwlaan;Den Haag-Neherkade;Wieringerwerf-Medemblikkerweg;Utrecht-Kardinaal de Jongweg;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Enschede-Winkelhorst.;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.54052,5.85307);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.593533,4.824944);(51.60308,4.781016);(51.407365,5.393328);(51.698187,5.54332);(52.077148,4.289185);(51.914233,4.479923);(52.296556,4.510817);(51.914883,4.32943);(52.062537,4.318551);(52.803657,5.050509);(52.105031,5.124464);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.234504,6.919494);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;stad;stad;regionaal;stad;stad;stad;regionaal;stad;stad;regionaal;stad;stad;regionaal;stad;regionaal;stad;regionaal;regionaal;stad;stad;stad;regionaal;stad;stad
;;;;StationsType;achtergrond;verkeer;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;verkeer;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA)
;;;;Meetopstelling;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020
;;;;Accreditatienummer;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10248;NL10404;NL10418;NL10444;NL10449;NL10450;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20230501 00:00;20230501 01:00;10.062;3.276;-0.79;;4.916;3.002;2.93;3.926;0.079;3.453;4.48;5.933;3.26;6.958;9.847;4.458;12.738;0.791;4.768;14.031;7.85;3.051;1.962;3.188;4.593
PM2.5;uur;µg/m³;20230501 01:00;20230501 02:00;8.187;2.95;4.6;;4.891;-1.22;4.719;4.493;5.581;4.428;2.611;5.037;6.408;6.518;13.433;4.947;6.957;4.33;3.639;6.032;9.161;1.159;4.262;5.923;6.095
PM2.5;uur;µg/m³;20230501 02:00;20230501 03:00;6.106;5.156;4.253;;5.869;3.603;11.562;2.257;2.945;6.028;10.925;4.577;8.118;7.096;9.984;3.529;4.637;12.934;5.867;6.505;8.945;3.299;3.218;5.083;6.633
PM2.5;uur;µg/m³;20230501 03:00;20230501 04:00;8.71;3.902;6.942;;7.701;5.246;6.44;1.443;2.649;6.141;11.846;3.061;5.924;4.858;8.206;3.034;3.888;7.816;6.329;6.793;5.904;6.352;2.969;6.135;7.915
PM2.5;uur;µg/m³;20230501 04:00;20230501 05:00;10.64;3.301;4.949;;5.094;3.109;8.421;2.114;2.914;4.597;7.103;4.503;5.807;5.128;9.19;2.84;4.773;10.562;7.427;11.483;6.411;;5.473;7.004;7.477
PM2.5;uur;µg/m³;20230501 05:00;20230501 06:00;7.398;3.566;2.103;;4.987;3.603;7.895;2.219;5.873;5.387;7.195;5.055;10.425;4.298;7.841;3.536;8.495;6.809;8.1;6.444;6.178;4.974;1.95;7.325;8.684
PM2.5;uur;µg/m³;20230501 06:00;20230501 07:00;9.259;5.919;4.756;;10.229;4.54;6.013;2.798;5.99;5.118;8.886;4.741;6.61;4.923;11.983;4.579;8.3;7.568;8.178;10.974;5.688;5.488;5.315;9.758;9.592
PM2.5;uur;µg/m³;20230501 07:00;20230501 08:00;7.189;4.084;3.203;;10.631;5.442;12.453;3.177;4.578;6.93;9.935;8.094;6.406;10.415;10.964;4.237;7.359;8.404;9.141;7.878;11.003;6.544;9.572;12.238;6.181
PM2.5;uur;µg/m³;20230501 08:00;20230501 09:00;15.668;1.628;2.29;;9.69;6.856;11.326;5.195;10.493;8.955;12.473;8.769;9.562;7.722;9.847;5.845;10.209;7.53;8.778;12.306;9.141;7.382;7.178;15.099;4.903
PM2.5;uur;µg/m³;20230501 09:00;20230501 10:00;14.227;1.911;10.346;;11.189;9.69;8.769;6.76;8.896;14.688;19.715;8.818;8.263;7.371;15.442;5.769;7.253;11.885;10.817;10.072;16.883;9.053;4.314;21.91;8.7
PM2.5;uur;µg/m³;20230501 10:00;20230501 11:00;13.061;5.273;11.023;;11.689;7.058;7.652;7.699;13.58;12.669;14.139;9.268;10.327;5.929;13.845;4.646;5.938;9.847;9.2;7.918;13.649;5.831;1.649;13.071;11.121
PM2.5;uur;µg/m³;20230501 11:00;20230501 12:00;13.071;9.151;8.178;;11.052;10.944;7.108;7.69;9.484;9.337;6.5;13.335;11.062;4.811;10.503;2.648;9.7;14.698;9.435;11.326;14.237;4.689;2.115;6.693;6.779
PM2.5;uur;µg/m³;20230501 12:00;20230501 13:00;8.548;8.481;7.527;;9.572;7.516;7.063;4.983;8.114;7.18;5.141;7.202;5.722;4.9;10.866;5.924;8.186;5.617;8.639;10.611;8.847;5.011;1.481;1.361;3.456
PM2.5;uur;µg/m³;20230501 13:00;20230501 14:00;13.884;8.007;10.611;;7.701;4.991;5.359;5.76;8.749;7.122;15.433;6.08;9.641;9.121;13.11;9.984;7.716;2.868;7.765;6.003;8.608;6.9;3.616;-0.749;0.669
PM2.5;uur;µg/m³;20230501 14:00;20230501 15:00;7.863;7.448;4.726;;7.113;4.395;2.854;5.587;11.072;5.055;7.223;6.034;7.921;8.837;15.825;8.521;;9.357;8.131;4.585;6.532;4.76;3.426;-0.826;0.298
PM2.5;uur;µg/m³;20230501 15:00;20230501 16:00;9.886;6.213;1.828;;12.845;7.717;2.306;3.381;9.651;4.986;12.571;6.176;8.994;8.419;7.267;7.018;;5.381;6.195;6.075;4.274;8.406;5.364;-0.037;5.197
PM2.5;uur;µg/m³;20230501 16:00;20230501 17:00;8.476;9.631;16.285;;16.834;7.932;2.453;3.311;19.068;15.815;18.627;7.906;13.688;21.352;10.405;8.621;;10.16;8.419;0.35;3.579;5.525;6.98;-0.83;4.436
PM2.5;uur;µg/m³;20230501 17:00;20230501 18:00;8.536;14.257;7.301;;14.57;7.938;9.739;6.929;23.919;6.471;16.648;9.033;17.089;17.736;7.588;8.255;;8.276;6.804;2.478;7.826;3.268;7.671;-0.067;9.445
PM2.5;uur;µg/m³;20230501 18:00;20230501 19:00;11.366;11.13;12.091;;21.117;12.248;9.2;6.921;33.004;16.569;28.594;14.511;27.193;14.629;17.069;9.69;12.189;7.652;11.385;3.742;9.562;6.569;4.787;12.091;16.403
PM2.5;uur;µg/m³;20230501 19:00;20230501 20:00;14.355;9.366;13.326;;22.283;19.264;10.052;8.59;20.499;15.364;10.552;16.716;17.167;7.449;24.351;15.707;15.874;2.666;10.288;8.634;8.72;5.197;9.308;5.689;4.399
PM2.5;uur;µg/m³;20230501 20:00;20230501 21:00;15.609;9.7;9.69;;22.645;19.696;20.019;13.47;12.091;22.234;6.821;17.804;15.286;10.297;31.965;12.728;18.324;8.561;20.911;9.033;16.324;4.466;10.699;3.839;12.189
PM2.5;uur;µg/m³;20230501 21:00;20230501 22:00;13.669;12.179;9.435;;22.714;17.677;21.097;18.42;8.463;15.629;0.916;12.845;8.788;8.097;22.116;14.364;16.942;7.076;14.825;19.382;19.833;11.454;7.034;5.032;14.119
PM2.5;uur;µg/m³;20230501 22:00;20230501 23:00;13.914;16.736;18.52;;24.948;27.506;21.93;19.7;4.35;9.023;-0.524;10.356;5.733;6.924;27.653;9.268;13.002;3.963;12.649;17.736;24.488;17.53;5.514;6.736;8.896
PM2.5;uur;µg/m³;20230501 23:00;20230502 00:00;17.03;24.449;16.707;;12.493;12.943;26.654;8.909;0.634;8.416;2.341;5.622;3.493;6.902;20.47;9.494;13.492;3.739;11.091;24.968;26.605;16.07;5.059;5.058;5.812
PM2.5;uur;µg/m³;20230502 00:00;20230502 01:00;12.63;10.846;20.578;;14.884;12.101;30.348;7.924;4.684;5.009;3.007;6.433;;3.59;15.315;5.157;8.315;3.609;9.533;19.441;16.275;15.148;5.387;4.237;4.336
PM2.5;uur;µg/m³;20230502 01:00;20230502 02:00;13.188;18.392;15.482;;21.46;10.699;19.676;6.881;4.649;6.387;5.438;5.73;-0.17;5.81;16.628;-1.631;6.441;7.573;8.512;13.757;13.688;17.393;3.562;2.626;2.189
PM2.5;uur;µg/m³;20230502 02:00;20230502 03:00;13.923;25.35;20.127;;6.615;8.338;10.386;6.014;3.305;4.822;6.731;2.525;-0.043;4.522;9.406;-4.91;1.092;5.755;5.389;3.523;17.608;8.876;4.288;0.996;-1.072
PM2.5;uur;µg/m³;20230502 03:00;20230502 04:00;7.268;27.702;29.407;;4.76;6.041;7.849;7.111;2.28;1.966;11.248;-0.093;1.334;6.267;10.709;-2.161;;6.209;1.01;13.874;15.844;8.274;3.543;1.946;-3.024
PM2.5;uur;µg/m³;20230502 04:00;20230502 05:00;9.807;35.679;33.465;;3.402;0.598;3.626;4.137;1.523;0.904;7.172;-2.429;1.168;4.128;7.474;-0.319;-4.651;4.216;-1.968;-1.301;4.846;2.406;3.029;1.343;-3.243
PM2.5;uur;µg/m³;20230502 05:00;20230502 06:00;6.697;14.933;12.689;;2.2;-1.462;0.721;-1.333;5.097;0.167;6.974;-3.49;0.557;1.854;7.04;0.044;-2.814;3.118;-1.7;-0.657;6.789;-2.425;5.981;4.838;-0.655
PM2.5;uur;µg/m³;20230502 06:00;20230502 07:00;5.868;5.004;10.993;;2.066;0.586;5.751;-2.301;5.009;1.272;6.033;-0.932;0.207;0.931;6.592;3.008;-1.805;4.218;2.312;1.403;15.315;-1.792;3.413;3.138;2.452
PM2.5;uur;µg/m³;20230502 07:00;20230502 08:00;6.137;5.052;7.667;;3.005;1.1;6.912;-1.518;2.78;4.774;6.542;1.32;-0.501;0.905;6.298;6.713;3.016;7.267;4.247;4.913;10.876;-0.447;4.297;6.008;2.477
PM2.5;uur;µg/m³;20230502 08:00;20230502 09:00;7.622;4.449;4.043;;4.646;2.157;13.061;0.832;2.771;4.581;6.718;3.898;1.772;1.059;7.453;5.388;4.827;5.996;4.452;3.977;7.33;1.58;3.905;5.521;1.252
PM2.5;uur;µg/m³;20230502 09:00;20230502 10:00;5.136;4.012;3.687;;6.783;2.328;8.298;1.617;1.457;1.51;8.335;5.434;4.226;3.398;8.857;5.526;2.674;7.121;6.076;5.745;0.553;4.651;2.007;3.098;2.832
PM2.5;uur;µg/m³;20230502 10:00;20230502 11:00;4.282;4.086;8.541;;7.154;5.011;6.97;3.193;0.072;0.36;;11.562;8.102;7.235;5.841;3.911;1.161;5.029;4.647;11.17;;3.694;1.676;3.143;1.526
PM2.5;uur;µg/m³;20230502 11:00;20230502 12:00;7.816;2.89;6.598;;4.848;4.921;14.59;5.118;3.884;2.24;;11.473;2.629;4.791;4.579;5.705;6.892;5.02;5.445;8.22;2.008;5.147;1.818;2.115;1.858
PM2.5;uur;µg/m³;20230502 12:00;20230502 13:00;8.546;2.331;2.612;;4.988;3.101;11.503;4.305;4.427;5.13;;10.562;1.541;3.389;6.974;6.233;7.508;5.275;4.741;3.973;6.243;8.729;2.313;-0.302;6.181
PM2.5;uur;µg/m³;20230502 13:00;20230502 14:00;6.067;3.707;2.779;;7.606;3.139;10.846;4.142;7.265;3.546;;10.356;4.741;2.452;8.896;6.417;5.656;7.027;6.377;1.592;8.545;5.872;1.051;1.3;4.295
PM2.5;uur;µg/m³;20230502 14:00;20230502 15:00;4.29;3.403;5.391;;12.777;3.395;7.569;4.661;5.58;2.104;;6.875;2.127;4.26;4.69;5.176;5.37;8.876;6.618;4.73;7.129;6.321;0.385;0.456;1.85
PM2.5;uur;µg/m³;20230502 15:00;20230502 16:00;5.608;3.923;7.348;;11.385;3.736;3.722;4.854;7.18;8.196;;3.985;1.314;3.665;5.213;8.003;7.124;6.318;5.322;6.959;8.487;4.28;0.077;-0.022;0.945
PM2.5;uur;µg/m³;20230502 16:00;20230502 17:00;5.762;4.1;4.913;;6.485;6.578;1.394;3.447;6.2;5.833;;4.542;4.577;0.529;3.855;6.144;5.586;6.71;3.515;6.553;8.798;2.638;-2.376;4.058;4.774
PM2.5;uur;µg/m³;20230502 17:00;20230502 18:00;6.885;6.91;4.209;;1.772;3.52;1.892;3.817;4.407;6.022;;2.545;3.648;3.205;4.462;0.226;4.475;3.821;7.368;3.654;10.493;2.023;-2.116;1.65;4.639
PM2.5;uur;µg/m³;20230502 18:00;20230502 19:00;6.088;6.179;2.191;;6.464;6.197;3.313;0.155;4.266;4.002;;;1.553;5.741;4.684;-3.999;3.025;2.525;6.147;3.315;6.79;1.979;-1.864;0.736;3.345
PM2.5;uur;µg/m³;20230502 19:00;20230502 20:00;4.363;5.914;-2.159;;9.415;3.894;0.918;-3.943;3.038;4.968;;;2.325;2.72;2.707;-3.237;3.859;1.294;3.887;4.053;5.562;1.7;1.034;2.996;5.873
PM2.5;uur;µg/m³;20230502 20:00;20230502 21:00;4.471;4.977;0.392;;4.931;3.337;2.184;;3.755;4.579;;3.253;0.963;-0.625;2.457;2.168;4.139;-1.449;1.895;4.484;7.891;3.586;2.924;4.479;5.625
PM2.5;uur;µg/m³;20230502 21:00;20230502 22:00;6.06;4.312;6.681;;3.406;2.621;2.848;2.584;2.893;3.213;;3.332;1.274;0.109;3.549;4.592;6.006;0.66;1.963;4.962;8.197;2.565;3.677;1.741;4.694
PM2.5;uur;µg/m³;20230502 22:00;20230502 23:00;12.012;4.12;3.786;;3.402;2.914;5.711;1.446;2.3;3.262;;3.281;3.216;2.582;8.401;5.161;7.241;0.227;4.691;4.066;10.601;4.126;1.662;0.48;2.45
PM2.5;uur;µg/m³;20230502 23:00;20230503 00:00;7.287;6.618;6.889;;3.948;3.121;7.543;0.604;2.023;4.263;;5.424;3.612;3.201;6.809;3.643;6.627;0.726;7.987;8.268;9.66;2.825;-1.881;3.222;4.819
PM2.5;uur;µg/m³;20230503 00:00;20230503 01:00;5.826;5.418;7.327;;4.28;1.615;7.828;6.784;2.686;3.801;;8.114;7.09;3.888;7.647;2.448;7.093;6.375;5.879;8.23;7.385;3.633;4.277;1.834;3.896
PM2.5;uur;µg/m³;20230503 01:00;20230503 02:00;5.18;5.755;6.598;;6.167;5.539;10.415;4.012;3.959;7.14;;9.543;5.59;3.913;7.996;3.351;6.154;3.931;6.106;4.527;8.587;5.682;2.722;1.555;4.884
PM2.5;uur;µg/m³;20230503 02:00;20230503 03:00;2.656;7.151;5.915;;7.817;5.236;10.64;3.324;3.928;4.559;;7.106;1.829;1.695;5.985;3.711;4.923;2.247;5.842;8.448;4.647;4.029;-1.377;0.747;3.615
PM2.5;uur;µg/m³;20230503 03:00;20230503 04:00;6.107;7.865;7.328;;8.025;6.181;9.621;4.295;3.569;3.493;;4.939;-1.161;3.394;5.76;6.72;5.818;3.644;6.354;7.927;3.072;7.273;1.408;1.408;6.948
PM2.5;uur;µg/m³;20230503 04:00;20230503 05:00;10.043;7.423;6.565;;12.61;4.83;11.111;3.866;4.609;3.532;;3.749;4.929;4.136;12.287;4.266;6.045;3.408;8.965;4.763;5.473;4.536;2.05;1.064;8.015
PM2.5;uur;µg/m³;20230503 05:00;20230503 06:00;15.893;11.14;9.464;;18.637;3.58;7.038;4.649;5.95;3.245;;4.965;11.493;3.778;10.523;4.576;6.462;1.295;10.16;2.865;2.673;9.856;2.382;-0.613;4.196
PM2.5;uur;µg/m³;20230503 06:00;20230503 07:00;9.856;7.233;8.292;;7.5;2.39;5.577;6.108;4.172;3.544;;5.65;7.764;3.799;6.147;5.098;5.626;2.627;10.111;5.61;2.126;5.238;5.768;-0.352;3.902
PM2.5;uur;µg/m³;20230503 07:00;20230503 08:00;10.934;11.062;12.689;;6.332;4.718;13.071;4.457;3.475;2.573;;6.091;4.343;3.381;5.078;4.814;6.623;9.131;7.646;7.426;5.577;5.106;3.4;1;3.768
PM2.5;uur;µg/m³;20230503 08:00;20230503 09:00;9.112;14.423;12.277;;4.606;3.001;13.816;2.631;4.443;5.706;;7.041;2.824;2.25;5.494;2.976;4.985;6.979;7.373;7.334;3.504;5.776;0.988;0.671;6.524
PM2.5;uur;µg/m³;20230503 09:00;20230503 10:00;15.099;8.604;20.088;;6.662;1.531;12.208;3.437;4.912;4.069;;7.451;4.726;6.514;6.678;1.524;5.078;0.891;5.783;5.37;6.767;-0.135;2.682;0.306;6.317
PM2.5;uur;µg/m³;20230503 10:00;20230503 11:00;4.924;8.694;15.344;;8.098;3.585;11.944;6.614;3.41;2.938;;10.66;4.95;5.621;7.046;1.989;5.586;1.132;4.386;10.366;;0.683;2.062;4.248;5.018
PM2.5;uur;µg/m³;20230503 11:00;20230503 12:00;8.965;12.512;9.719;;7.311;5.452;15.384;10.12;3.438;5.43;;11.679;5.033;4.471;7.563;3.108;4.532;17.099;3.924;8.176;-4.751;4.282;3.881;16.952;4.889
PM2.5;uur;µg/m³;20230503 12:00;20230503 13:00;6.931;9.611;8.471;;10.013;7.428;18.725;11.09;3.883;5.892;;19.157;5.191;7.071;9.141;4.144;4.274;8.847;23.674;5.036;4.74;5.497;0.847;0.751;4.493
PM2.5;uur;µg/m³;20230503 13:00;20230503 14:00;6.766;5.304;10.16;;15.413;6.445;15.031;7.173;2.757;7.973;;15.981;3.357;5.408;8.857;13.169;7.307;16.334;13.139;4.73;7.796;3.196;-1.963;1.669;5.974
PM2.5;uur;µg/m³;20230503 14:00;20230503 15:00;8.847;9.357;11.542;;13.943;10.876;8.011;4.492;4.545;7.113;;8.847;2;4.103;11.552;10.16;6.513;4.462;8.213;5.736;5.749;3.19;-2.681;4.688;5.513
PM2.5;uur;µg/m³;20230503 15:00;20230503 16:00;6.77;5.754;8.333;;11.062;7.293;8.327;2.972;8.051;10.356;;6.339;3.004;2.654;10.288;10.15;9.455;14.139;7.578;4.511;4.318;4.842;-2.931;2.963;4.692
PM2.5;uur;µg/m³;20230503 16:00;20230503 17:00;6.347;4.342;5.802;;7.063;6.692;7.025;2.242;5.101;9.553;;6.247;1.185;3.693;7.027;9.327;6.779;7.918;4.547;5.26;4.371;6.249;0.829;2.43;5.309
PM2.5;uur;µg/m³;20230503 17:00;20230503 18:00;7.96;7.576;5.177;;6.566;5.329;7.603;2.464;1.868;7.822;;5.571;3.698;3.401;9.239;4.511;9.043;7.679;1.673;5.892;4;9.719;3.351;2.581;5.105
PM2.5;uur;µg/m³;20230503 18:00;20230503 19:00;5.518;6.459;4.883;;4.111;3.075;6.674;3.833;1.278;3.386;;7.279;2.345;7.492;8.749;1.774;6.081;1.193;4.831;6.95;12.502;10.807;0.93;2.655;5.954
PM2.5;uur;µg/m³;20230503 19:00;20230503 20:00;8.876;6.74;2.738;;4.718;2.229;4.89;5.083;4.601;3.555;;5.345;1.633;4.478;8.124;0.479;4.324;-2.182;3.985;9.308;11.287;10.19;0.853;3.436;2.689
PM2.5;uur;µg/m³;20230503 20:00;20230503 21:00;10.807;7.071;0.45;;4.584;2.756;4.883;3.062;6.63;7.501;;1.756;2.446;4.012;8.965;-0.418;6.325;2.012;;18.343;16.442;9.21;3.952;1.524;2.799
PM2.5;uur;µg/m³;20230503 21:00;20230503 22:00;17.04;9.719;3.467;;9.229;3.987;6.005;5.338;7.647;8.088;;-0.3;2.178;7.109;10.444;1.255;7.411;6.341;0.621;17.01;19.852;14.639;1.636;3.348;3.533
PM2.5;uur;µg/m³;20230503 22:00;20230503 23:00;14.502;10.572;7.311;;8.253;6.491;6.524;13.2;7.096;6.918;;5.98;2.184;4.204;7.411;1.835;8.078;5.692;7.299;12.199;11.62;11.777;3.407;4.065;4.869
PM2.5;uur;µg/m³;20230503 23:00;20230504 00:00;17.432;10.17;6.196;;14.08;8.587;6.411;9.918;6.588;8.222;;6.398;7.197;10.033;13.678;4.581;12.473;12.679;9.288;9.494;9.876;6.187;2.978;5.784;7.084
PM2.5;uur;µg/m³;20230504 00:00;20230504 01:00;10.425;9.758;5.43;;10.699;11.679;15.246;7.897;7.753;7.473;;8.827;8.228;7.019;11.542;4.445;7.877;12.826;10.297;14.502;12.924;7.244;3.41;4.742;6.712
PM2.5;uur;µg/m³;20230504 01:00;20230504 02:00;9.964;10.141;5.066;;12.385;12.336;8.886;7.46;8.935;7.107;;8.984;5.048;3.427;11.66;6.013;10.699;8.664;8.608;12.228;17.657;6.089;2.057;3.586;3.572
PM2.5;uur;µg/m³;20230504 02:00;20230504 03:00;9.308;7.69;6.425;;15.717;10.258;15.55;5.12;11.738;10.092;;12.934;4.913;3.513;11.081;7.74;12.826;8.393;8.362;7.776;24.988;6.321;3.547;3.183;-0.281
PM2.5;uur;µg/m³;20230504 03:00;20230504 04:00;9.161;7.092;7.59;;11.493;9.631;8.101;5.567;8.896;6.394;;10.082;7.082;4.149;11.346;7.24;9.337;8.036;10.219;12.248;19.294;9.935;5.13;4.032;2.158
PM2.5;uur;µg/m³;20230504 04:00;20230504 05:00;9.023;7.798;5.749;;8.945;8.646;7.214;5.731;9.455;6.582;;8.411;8.778;4.702;11.758;5.496;7.166;8.906;12.091;10.248;6.918;10.435;3.027;3.885;3.87
PM2.5;uur;µg/m³;20230504 05:00;20230504 06:00;13.179;6.827;5.649;;8.7;12.983;10.895;7.922;8.017;12.62;;7.365;6.582;1.392;13.218;4.331;9.131;5.568;8.097;11.395;7.448;19.48;4.745;6.96;3.663
PM2.5;uur;µg/m³;20230504 06:00;20230504 07:00;14.825;9.161;8.778;;17.442;14.56;15.227;11.33;9.455;11.042;;8.23;5.382;12.061;12.493;10.582;10.719;12.502;14.462;13.061;13.061;1.405;4.203;6.882;6.476
PM2.5;uur;µg/m³;20230504 07:00;20230504 08:00;14.129;7.716;12.434;;14.394;17.108;28.016;9.556;13.894;13.482;;11.072;9.268;9.719;12.816;10.993;10.562;10.836;14.247;15.864;11.562;20.48;2.635;8.847;7.415
PM2.5;uur;µg/m³;20230504 08:00;20230504 09:00;8.575;7.167;9.572;;12.414;14.962;15.658;11.28;10.611;16.667;;10.856;9.798;8.886;9.553;17.246;17.589;23.312;17.589;12.326;8.594;9.464;1.948;9.327;10.954
PM2.5;uur;µg/m³;20230504 09:00;20230504 10:00;9.915;7.25;7.341;;14.247;11.767;14.658;10.43;8.808;10.209;;11.052;10.131;8.655;11.415;18.882;22.812;14.119;15.864;13.482;5.242;5.007;6.011;8.375;14.325
PM2.5;uur;µg/m³;20230504 10:00;20230504 11:00;10.464;4.367;6.563;;7.563;8.096;15.05;9.712;17.069;8.575;;12.855;5.54;8.749;9.337;4.369;15.148;21.234;9.053;13.188;2.592;-2.47;8.749;10.395;7.549
PM2.5;uur;µg/m³;20230504 11:00;20230504 12:00;7.102;6.857;4.001;;13.806;7.98;8.416;7.783;16.03;6.334;;10.817;5.173;19.255;10.67;4.797;10.405;24.576;9.239;12.728;0.831;-0.713;4.968;5.739;12.708
PM2.5;uur;µg/m³;20230504 12:00;20230504 13:00;6.187;6.22;2.352;;11.65;6.865;9.053;7.063;7.204;8.365;;9.317;5.052;11.816;9.033;3.416;6.472;10.768;7.879;21.401;4.597;9.67;1.62;5.095;10.17
